Topic,Count,Name,0,1,2,3,4,5,6,7,8,9
-1,153970,-1_retraite_salaire_pouvoir_président,retraite,salaire,pouvoir,président,devoir,payer,taxe,travail,suppression,euro
0,3677,0_commune_communauté_rural_habitant,commune,communauté,rural,habitant,communal,compétence,département,village,région,maire
1,3630,1_école_élève_enseignant_enfant,école,élève,enseignant,enfant,éducation,collège,enseignement,scolaire,lycée,professeur
2,3238,2_énergie_agriculture_pesticide_nucléaire,énergie,agriculture,pesticide,nucléaire,production,électrique,bio,pollution,écologique,eau
3,2652,3_monsieur_macron_président_salutation,monsieur,macron,président,salutation,maire,mr,prier,bonjour,cordialement,agréer
4,2181,4_pension_retraité_retraite_inflation,pension,retraité,retraite,inflation,csg,augmentation,indexation,pourcent,revalorisation,montant
5,2148,5_français_étranger_macron_peuple,français,étranger,macron,peuple,migrant,immigration,arrêter,président,isf,monsieur
6,1869,6_fiscal_fiscalité_évasion_niche,fiscal,fiscalité,évasion,niche,fraude,revenu,optimisation,impôt,taxation,entreprise
7,1524,7_vote_blanc_référendum_initiative,vote,blanc,référendum,initiative,élection,obligatoire,reconnaissance,comptabiliser,proportionnelle,démocratie
8,1259,8_français_xad_langue_peuple,français,xad,langue,peuple,pays,devoir,étranger,république,nation,vouloir
9,1259,9_élection_vote_souhaitable_proportionnelle,élection,vote,souhaitable,proportionnelle,suffrage,blanc,dose,introduire,candidat,925
10,1211,10_kilomètre_vitesse_route_heure,kilomètre,vitesse,route,heure,par,limitation,autoroute,radar,routier,rouler
11,1100,11____,,,,,,,,,,
12,933,12_monsieur_président_bien_vouloir,monsieur,président,bien,vouloir,macron,faire,aller,savoir,peuple,jaune
13,848,13_euro_mois_brut_mensuel,euro,mois,brut,mensuel,net,million,couple,moi,pension,csg
14,771,14_médecin_patient_médical_médecine,médecin,patient,médical,médecine,soin,santé,généraliste,médicament,infirmier,hôpital
15,705,15_message_com_postal_gmail,message,com,postal,gmail,adresse,prénom,fr,nâ,soumission,date
16,610,16_commune_rural_communauté_habitant,commune,rural,communauté,habitant,petit,village,maire,commerce,municipal,âgé
17,578,17_arrondissement_approfondi_dysfonctionnement_indique,arrondissement,approfondi,dysfonctionnement,indique,souhaiter,coordonnée,laisse,analyse,ordre,autour
18,575,18_revoir_falloir_phrase_baisser,revoir,falloir,phrase,baisser,arrêter,aider,beaucoup,travailler,bosser,salaire
19,546,19_légalisation_mourir_euthanasie_ifop,légalisation,mourir,euthanasie,ifop,létal,actif,sondage,décéder,intégrer,contraception
20,534,20_libre_expression_défi_quell,libre,expression,défi,quell,concret,vieux,scientifiquement,échelon,faut,garantir
21,534,21_x92est_qu_x92_rui,x92est,qu,x92,rui,x92en,x92autre,x92on,x92y,siècle,x92er
22,465,22_date_traiter_attention_habitant,date,traiter,attention,habitant,mante,ordre,priorité,problème,demande,ville
23,454,23_dépense_fiscalité_déficit_réponse,dépense,fiscalité,déficit,réponse,utilisation,information,réduire,efficace,domaine,gagner
24,441,24_femme_homme_enfant_père,femme,homme,enfant,père,sexe,égalité,mère,pma,humain,mariage
25,427,25_augmentation_csg_retraite_isf,augmentation,csg,retraite,isf,retraité,smic,revalorisation,achat,retrait,baisse
