Topic,Count,Name,0,1,2,3,4,5,6,7,8,9
-1,150526,-1_retraite_pouvoir_devoir_salaire,retraite,pouvoir,devoir,salaire,faire,président,impôt,taxe,travail,payer
0,6288,0_euro_retraite_pension_augmentation,euro,retraite,pension,augmentation,retraité,csg,inflation,pourcent,indexation,mois
1,6210,1_commune_rural_communauté_habitant,commune,rural,communauté,habitant,département,village,maire,région,local,service
2,3880,2_école_élève_enfant_enseignant,école,élève,enfant,enseignant,éducation,classe,collège,scolaire,enseignement,parent
3,3159,3_énergie_agriculture_écologique_transition,énergie,agriculture,écologique,transition,pesticide,pollution,production,électrique,nucléaire,environnement
4,2693,4_augmentation_retraite_csg_indexation,augmentation,retraite,csg,indexation,retraité,inflation,isf,revalorisation,suppression,pension
5,2376,5_monsieur_président_macron_maire,monsieur,président,macron,maire,salutation,prier,rue,république,bonjour,agréer
6,1792,6_français_peuple_étranger_macron,français,peuple,étranger,macron,immigration,président,isf,arrêter,migrant,monsieur
7,1697,7_commune_rural_maire_habitant,commune,rural,maire,habitant,cahier,communauté,doléance,petit,département,février
8,1691,8_kilomètre_route_vitesse_heure,kilomètre,route,vitesse,heure,limitation,par,autoroute,routier,radar,accident
9,1664,9_élection_vote_blanc_proportionnelle,élection,vote,blanc,proportionnelle,suffrage,mandat,candidat,souhaitable,démocratie,élu
10,1644,10_monsieur_président_vouloir_bien,monsieur,président,vouloir,bien,faire,aller,pouvoir,peuple,savoir,travailler
11,1387,11_vote_blanc_référendum_élection,vote,blanc,référendum,élection,initiative,obligatoire,reconnaissance,comptabiliser,démocratie,proportionnelle
12,1231,12_français_langue_pays_peuple,français,langue,pays,peuple,xad,devoir,étranger,payer,bien,république
13,1144,13_fiscal_fiscalité_évasion_impôt,fiscal,fiscalité,évasion,impôt,niche,revenu,entreprise,fraude,optimisation,milliard
14,1100,14____,,,,,,,,,,
15,982,15_patron_collectif_petit_entrepreneur,patron,collectif,petit,entrepreneur,risque,société,mairie,sarl,courroie,vitrier
16,784,16_cahierscitoyens_granddebat_fr_ko,cahierscitoyens,granddebat,fr,ko,pièce,joindre,pdf,mairie,imprimé,cordialement
17,752,17_médecin_patient_médical_médecine,médecin,patient,médical,médecine,santé,soin,hôpital,médicament,généraliste,infirmier
18,702,18_fiscal_évasion_fraude_justice,fiscal,évasion,fraude,justice,lutter,paradis,fiscalité,isf,niche,lutte
19,646,19_revoir_falloir_salaire_devoir,revoir,falloir,salaire,devoir,arrêter,baisser,trop,baisse,travailler,beaucoup
20,629,20_arrondissement_dysfonctionnement_approfondi_souhaiter,arrondissement,dysfonctionnement,approfondi,souhaiter,indique,ordre,priorité,autour,laisse,analyse
21,616,21_x92est_qu_x92_rui,x92est,qu,x92,rui,x92en,x92autre,x92on,bien,x92er,siècle
22,600,22_février_registre_clôturer_maire,février,registre,clôturer,maire,clore,janvier,mercredi,présent,parapher,cahier
23,585,23_mourir_légalisation_euthanasie_actif,mourir,légalisation,euthanasie,actif,ifop,létal,sondage,décéder,intégrer,contraception
24,533,24_libre_expression_défi_concret,libre,expression,défi,concret,quell,échelon,vieux,solution,améliorer,environnemental
25,526,25_message_postal_com_gmail,message,postal,com,gmail,adresse,prénom,fr,date,nom,courriel
26,470,26_organisation_administratif_échelon_territorial,organisation,administratif,échelon,territorial,oui,opérateur,évoluer,collectivité,démarche,administration
27,460,27_dépense_fiscalité_réponse_déficit,dépense,fiscalité,réponse,déficit,réduire,utilisation,information,efficace,impôt,domaine
28,411,28_oui_renouer_rôle_représenter,oui,renouer,rôle,représenter,syndical,institutionnel,association,organisation,falloir,incivilité
29,400,29_migratoire_immigration_définir_asile,migratoire,immigration,définir,asile,intégration,durer,critère,contrepartie,défi,fixer
30,390,30_femme_homme_enfant_père,femme,homme,enfant,père,égalité,sexe,mère,droit,travailler,humain
31,385,31_handicap_handicapé_handicaper_aah,handicap,handicapé,handicaper,aah,adulte,conjoint,enfant,situation,invalidité,adapter
32,369,32_climatique_environnement_réponse_quotidien,climatique,environnement,réponse,quotidien,oui,changement,hui,aujourd,alternatif,ell
33,365,33_prénom_nom_date_adresse,prénom,nom,date,adresse,signature,téléphone,2019,rue,01,postal
34,360,34_déclenchement_initiative_applicable_oui,déclenchement,initiative,applicable,oui,sort,consulter,associer,tirer,transformer,jouer
35,338,35_écrire_page_fin_écrite,écrire,page,fin,écrite,pag,contribution,texte,capital,,
36,331,36_dépense_domaine_réponse_baisser,dépense,domaine,réponse,baisser,prioritaire,territorial,priorité,collectivité,réduire,falloir
37,330,37_privilège_abolition_sénateur_ancien,privilège,abolition,sénateur,ancien,député,président,république,ministre,réduire,nombre
38,319,38_peine_détenu_exécution_conduite,peine,détenu,exécution,conduite,réduction,transalpin,neutralisation,radicaliser,nullement,mafieux
39,309,39_date_traiter_ordre_habitant,date,traiter,ordre,habitant,attention,priorité,mante,problème,demande,ville
40,295,40_euro_mois_retraite_toucher,euro,mois,retraite,toucher,loyer,retraité,csg,travailler,minimum,mensuel
41,295,41_français_pays_falloir_bien,français,pays,falloir,bien,payer,aller,vouloir,argent,faire,vivre
42,286,42_suppression_csg_diminution_réduction,suppression,csg,diminution,réduction,isf,sénateur,député,ancien,avantage,retraite
43,285,43_préfecture_préfet_février_monsieur,préfecture,préfet,février,monsieur,cahier,prier,cedex,joint,mairie,sous
44,279,44_kilomètre_heure_route_vitesse,kilomètre,heure,route,vitesse,limitation,autoroute,par,secondaire,camion,radar
45,271,45_monsieur_président_français_peuple,monsieur,président,français,peuple,république,bien,pays,aller,vouloir,faire
46,256,46_q3_q4_adresser_q5,q3,q4,adresser,q5,q2,collecteur,modification,terminé,q1,cahier
47,252,47_km_démarche_parcourir_transférer,km,démarche,parcourir,transférer,service,distance,accéder,nécessaire,réponse,effectuer
48,248,48_wanadoo_fr_mairie_orange,wanadoo,fr,mairie,orange,secrétariat,cahierscitoyens,pièce,joindre,granddebat,ko
49,243,49_prêt_bénéfique_tabac_alcool,prêt,bénéfique,tabac,alcool,publique,fiscalité,comportement,encourager,domaine,09
50,240,50_violence_jaune_gilet_prison,violence,jaune,gilet,prison,justice,homme,vivre,faire,force,violent
51,240,51_discrimination_incivilité_tolérant_témoin,discrimination,incivilité,tolérant,témoin,répandre,reculer,solidaire,construire,victime,société
52,233,52_fiscal_fiscalité_impôt_français,fiscal,fiscalité,impôt,français,tranche,payer,évasion,revenu,paradis,entreprise
53,229,53_kilomètre_heure_vitesse_suppression,kilomètre,heure,vitesse,suppression,indexation,csg,route,retraite,par,limitation
54,216,54_victime_relaxe_appel_acquittement,victime,relaxe,appel,acquittement,pénal,peine,civil,détenu,second,tribunal
55,208,55_monsieur_aérogénérateur_c02_maire,monsieur,aérogénérateur,c02,maire,commune,enr,éolien,production,mix,éolienne
56,205,56_davantage_recours_oui_orientation,davantage,recours,oui,orientation,participatif,associer,référendum,vote,inciter,participation
57,198,57_dividende_soumettre_cahuzac_littéralement,dividende,soumettre,cahuzac,littéralement,poumon,investissant,étouffer,confiscatoire,faite,notr
58,188,58_mourir_légalisation_euthanasie_actif,mourir,légalisation,euthanasie,actif,ifop,létal,sondage,décéder,intégrer,contraception
59,186,59_paris_formulaire_backoffice_mairie15,paris,formulaire,backoffice,mairie15,textarea_fl6_12,text_fl6_8,textarea_fl6_25,fr,mailto,reply
60,184,60_victime_relaxe_appel_acquittement,victime,relaxe,appel,acquittement,pénal,civil,second,tribunal,détenu,cas
61,181,61_patron_dividende_risque_entrepreneur,patron,dividende,risque,entrepreneur,sarl,gérant,petit,société,majoritaire,collectif
62,179,62_cahier_débat_national_grand,cahier,débat,national,grand,citoyen,saint,thelle,natinal,genest,motte
63,176,63_contribution_thème_souhaiter_coordonnée,contribution,thème,souhaiter,coordonnée,proposition,dysfonctionnement,indique,débat,citoyenneté,approfondi
64,174,64_patron_entrepreneur_risque_dividende,patron,entrepreneur,risque,dividende,sarl,petit,gérant,société,majoritaire,développeur
65,174,65_formulaire_solution_facultatif_grenoble,formulaire,solution,facultatif,grenoble,sce,reply,no,doléance,ville,coordination
66,172,66_incivilité_civique_engagement_comportement,incivilité,civique,engagement,comportement,collective,pénible,quotidien,promouvoir,parcours,valoriser
67,172,67_ric_mise_place_matière,ric,mise,place,matière,démission,mécringe,macron,baisse,mauclain,ko
68,171,68_laïcité_renforcer_réciproque_intangible,laïcité,renforcer,réciproque,intangible,religion,compréhension,engagement,hui,aujourd,application
69,171,69_transition_écologique_écologie_énergie,transition,écologique,écologie,énergie,énergétique,ecologie,renouvelable,environnement,développer,économie
70,170,70_tribunal_justice_tiré_justiciable,tribunal,justice,tiré,justiciable,avocat,juge,judiciaire,peine,procédure,jugement
71,169,71_femme_homme_enfant_égalité,femme,homme,enfant,égalité,femm,veuve,toucher,élever,divorcer,égal
72,148,72_fiscal_évasion_fraude_taxation,fiscal,évasion,fraude,taxation,justice,blanc,suppression,sénateur,degré,vote
73,147,73_observation_fanny_active_dématérialiser,observation,fanny,active,dématérialiser,déposer,democratie,registre,larios,privacy,pina
74,141,74_secrétariat_medoc_lesparre_automatic,secrétariat,medoc,lesparre,automatic,33340,envoyer,civilité,envoyé,objet,doléance
75,136,75_jaune_gilet_jeune_vite,jaune,gilet,jeune,vite,carquois,vouloir,jour,penser,esclave,mourir
76,134,76_dividende_cahuzac_littéralement_soumettre,dividende,cahuzac,littéralement,soumettre,poumon,investissant,confiscatoire,étouffer,faite,aberration
77,134,77_thématique_facultatif_solution_collecte,thématique,facultatif,solution,collecte,exprimer,habitant,doléance,date,nom,ville
78,131,78_mourir_légalisation_euthanasie_actif,mourir,légalisation,euthanasie,actif,ifop,létal,sondage,décéder,intégrer,réanimation
79,130,79_cahier_débat_national_grand,cahier,débat,national,grand,citoyen,33353,rimons,84400,83560,60510
80,129,80_eaux_amand_les_saint,eaux,amand,les,saint,contact,espérance,fr,expéditeur,zimbra,févr
81,129,81_consultation_thématique_prononcer_inviter,consultation,thématique,prononcer,inviter,issue,lancer,thème,remarque,autour,citoyenneté
82,127,82_musique_danse_conservatoire_tgap,musique,danse,conservatoire,tgap,théâtre,violon,culture,jeune,redevance,sport
83,126,83_jaune_gilet_soutenir_courage,jaune,gilet,soutenir,courage,soutien,persévérez,combat,lâcher,bon,vive
84,126,84_bnri_retard_calendrier_réclamation,bnri,retard,calendrier,réclamation,triage,équipe,hiérarchiser,vigilance,soyon,apolitique
85,125,85_évoluer_renoncer_positif_complexe,évoluer,renoncer,positif,complexe,évolution,vou,démarche,cours,raison,manière
86,124,86_energie_français_référendum_renouvelable,energie,français,référendum,renouvelable,politique,initiative,nucléaire,constitution,vote,peuple
87,124,87_marseille_mdegert_submission_civilité,marseille,mdegert,submission,civilité,secteur,fr,exposer,user,10,2019
